xROK;ROK;POHL;VEKKAT;KRAJ;OBYV
X;2009;1;45-54;52;35825
X;2009;1;55-64;52;38781
X;2009;1;65-74;52;21225
X;2009;1;75+;52;14328
X;2009;2;15-34;52;75642
X;2009;2;35-44;52;38300
X;2009;2;45-54;52;35790
X;2009;2;55-64;52;42077
X;2009;2;65-74;52;27062
X;2009;2;75+;52;25371
X;2009;1;15-34;53;77557
X;2009;1;35-44;53;37386
X;2009;1;45-54;53;33896
X;2009;1;55-64;53;34949
X;2009;1;65-74;53;19206
X;2009;1;75+;53;12588
X;2009;2;15-34;53;71958
X;2009;2;35-44;53;35585
X;2009;2;45-54;53;33500
X;2009;2;55-64;53;37027
X;2009;2;65-74;53;24400
X;2009;2;75+;53;22663
X;2009;1;15-34;63;77758
X;2009;1;35-44;63;37793
X;2009;1;45-54;63;35875
X;2009;1;55-64;63;33621
X;2009;1;65-74;63;19588
X;2009;1;75+;63;12590
X;2009;2;15-34;63;72081
X;2009;2;35-44;63;35448
X;2009;2;45-54;63;33763
X;2009;2;55-64;63;34981
X;2009;2;65-74;63;24612
X;2009;2;75+;63;22455
X;2009;1;15-34;64;171488
X;2009;1;35-44;64;85103
X;2009;1;45-54;64;76484
X;2009;1;55-64;64;75199
X;2009;1;65-74;64;43733
X;2009;1;75+;64;27344
X;2009;2;15-34;64;162560
X;2009;2;35-44;64;80342
X;2009;2;45-54;64;75858
X;2009;2;55-64;64;82913
X;2009;2;65-74;64;56239
X;2009;2;75+;64;53255
X;2009;1;15-34;71;95714
X;2009;1;35-44;71;46751
X;2009;1;45-54;71;42964
X;2009;1;55-64;71;42823
X;2009;1;65-74;71;23921
X;2009;1;75+;71;15047
X;2009;2;15-34;71;90666
X;2009;2;35-44;71;44401
X;2009;2;45-54;71;42744
X;2009;2;55-64;71;46722
X;2009;2;65-74;71;31062
X;2009;2;75+;71;28284
X;2009;1;15-34;72;87351
X;2009;1;35-44;72;43501
X;2009;1;45-54;72;40825
X;2009;1;55-64;72;38380
X;2009;1;65-74;72;22249
X;2009;1;75+;72;13767
X;2009;2;15-34;72;82703
X;2009;2;35-44;72;41211
X;2009;2;45-54;72;40129
X;2009;2;55-64;72;42122
X;2009;2;65-74;72;29558
X;2009;2;75+;72;27015
X;2009;1;15-34;80;185315
X;2009;1;35-44;80;95153
X;2009;1;45-54;80;87215
X;2009;1;55-64;80;81031
X;2009;1;65-74;80;47551
X;2009;1;75+;80;24694
X;2009;2;15-34;80;174405
X;2009;2;35-44;80;89041
X;2009;2;45-54;80;85208
X;2009;2;55-64;80;90157
X;2009;2;65-74;80;60892
X;2009;2;75+;80;50243
X;2010;1;15-34;10;188852
X;2010;1;35-44;10;98400
X;2010;1;45-54;10;77398
X;2010;1;55-64;10;82046
X;2010;1;65-74;10;48403
X;2010;1;75+;10;33065
X;2010;2;15-34;10;176603
X;2010;2;35-44;10;92888
X;2010;2;45-54;10;79707
X;2010;2;55-64;10;94614
X;2010;2;65-74;10;61833
X;2010;2;75+;10;59838
X;2010;1;15-34;20;179108
X;2010;1;35-44;20;100499
X;2010;1;45-54;20;80472
X;2010;1;55-64;20;86284
X;2010;1;65-74;20;47006
X;2010;1;75+;20;27848
X;2010;2;15-34;20;171574
X;2010;2;35-44;20;93965
X;2010;2;45-54;20;77972
X;2010;2;55-64;20;90179
X;2010;2;65-74;20;57814
X;2010;2;75+;20;51124
X;2010;1;15-34;31;90918
X;2010;1;35-44;31;47562
X;2010;1;45-54;31;43551
X;2010;1;55-64;31;45296
X;2010;1;65-74;31;24652
X;2010;1;75+;31;15397
X;2010;2;15-34;31;86028
X;2010;2;35-44;31;45956
X;2010;2;45-54;31;42231
X;2010;2;55-64;31;46399
X;2010;2;65-74;31;30687
X;2010;2;75+;31;27093
X;2010;1;15-34;32;81918
X;2010;1;35-44;32;43698
X;2010;1;45-54;32;38053
X;2010;1;55-64;32;40511
X;2010;1;65-74;32;23622
X;2010;1;75+;32;13978
X;2010;2;15-34;32;76585
X;2010;2;35-44;32;40995
X;2010;2;45-54;32;37301
X;2010;2;55-64;32;42132
X;2010;2;65-74;32;28411
X;2010;2;75+;32;24558
X;2010;1;15-34;41;44061
X;2010;1;35-44;41;23628
X;2010;1;45-54;41;20782
X;2010;1;55-64;41;21630
X;2010;1;65-74;41;11478
X;2010;1;75+;41;6170
X;2010;2;15-34;41;42100
X;2010;2;35-44;41;22839
X;2010;2;45-54;41;20516
X;2010;2;55-64;41;23267
X;2010;2;65-74;41;14891
X;2010;2;75+;41;11213
X;2010;1;15-34;42;121737
X;2010;1;35-44;42;65157
X;2010;1;45-54;42;54305
X;2010;1;55-64;42;59715
X;2010;1;65-74;42;30636
X;2010;1;75+;42;15376
X;2010;2;15-34;42;113225
X;2010;2;35-44;42;61450
X;2010;2;45-54;42;52856
X;2010;2;55-64;42;64081
X;2010;2;65-74;42;38855
X;2010;2;75+;42;30753
X;2010;1;15-34;51;63537
X;2010;1;35-44;51;33600
X;2010;1;45-54;51;27533
X;2010;1;55-64;51;31448
X;2010;1;65-74;51;16119
X;2010;1;75+;51;9328
X;2010;2;15-34;51;60137
X;2010;2;35-44;51;32307
X;2010;2;45-54;51;27559
X;2010;2;55-64;51;34005
X;2010;2;65-74;51;20296
X;2010;2;75+;51;17782
X;2010;1;15-34;52;77996
X;2010;1;35-44;52;41193
X;2010;1;45-54;52;35383
X;2010;1;55-64;52;39090
X;2010;1;65-74;52;22124
X;2010;1;75+;52;14448
X;2010;2;15-34;52;73328
X;2010;2;35-44;52;39397
X;2010;2;45-54;52;35114
X;2010;2;55-64;52;42353
X;2010;2;65-74;52;28107
X;2010;2;75+;52;25543
X;2010;1;15-34;53;75390
X;2010;1;35-44;53;38668
X;2010;1;45-54;53;33517
X;2010;1;55-64;53;35563
X;2010;1;65-74;53;19814
X;2010;1;75+;53;12846
