V_b_r;xKOD;xROK;KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
;;X;A101;2009;2;75+;63;57
;;X;A101;2009;2;75+;64;59
;;X;A101;2009;2;75+;71;15
;;X;A101;2009;2;75+;72;47
;;X;A101;2009;2;75+;80;41
;;X;A101;2010;1;15-34;10;25
;;X;A101;2010;1;15-34;20;47
;;X;A101;2010;1;15-34;31;33
;;X;A101;2010;1;15-34;32;63
;;X;A101;2010;1;15-34;41;19
;;X;A101;2010;1;15-34;42;24
;;X;A101;2010;1;15-34;51;21
;;X;A101;2010;1;15-34;52;19
;;X;A101;2010;1;15-34;53;13
;;X;A101;2010;1;15-34;63;48
;;X;A101;2010;1;15-34;64;46
;;X;A101;2010;1;15-34;71;13
;;X;A101;2010;1;15-34;72;47
;;X;A101;2010;1;15-34;80;47
;;X;A101;2010;1;35-44;10;7
;;X;A101;2010;1;35-44;20;2
;;X;A101;2010;1;35-44;31;10
;;X;A101;2010;1;35-44;32;19
;;X;A101;2010;1;35-44;41;7
;;X;A101;2010;1;35-44;42;10
;;X;A101;2010;1;35-44;51;7
;;X;A101;2010;1;35-44;52;1
;;X;A101;2010;1;35-44;53;2
;;X;A101;2010;1;35-44;63;12
;;X;A101;2010;1;35-44;64;11
;;X;A101;2010;1;35-44;71;6
;;X;A101;2010;1;35-44;72;11
;;X;A101;2010;1;35-44;80;8
;;X;A101;2010;1;45-54;10;5
;;X;A101;2010;1;45-54;20;7
;;X;A101;2010;1;45-54;31;3
;;X;A101;2010;1;45-54;32;14
;;X;A101;2010;1;45-54;41;6
;;X;A101;2010;1;45-54;42;14
;;X;A101;2010;1;45-54;51;3
;;X;A101;2010;1;45-54;52;8
;;X;A101;2010;1;45-54;53;3
;;X;A101;2010;1;45-54;63;9
;;X;A101;2010;1;45-54;64;10
;;X;A101;2010;1;45-54;71;5
;;X;A101;2010;1;45-54;72;8
;;X;A101;2010;1;45-54;80;11
;;X;A101;2010;1;55-64;10;7
;;X;A101;2010;1;55-64;20;17
;;X;A101;2010;1;55-64;31;20
;;X;A101;2010;1;55-64;32;12
;;X;A101;2010;1;55-64;41;6
;;X;A101;2010;1;55-64;42;21
;;X;A101;2010;1;55-64;51;5
;;X;A101;2010;1;55-64;52;10
;;X;A101;2010;1;55-64;53;12
;;X;A101;2010;1;55-64;63;10
;;X;A101;2010;1;55-64;64;26
;;X;A101;2010;1;55-64;71;12
;;X;A101;2010;1;55-64;72;13
;;X;A101;2010;1;55-64;80;18
;;X;A101;2010;1;65-74;10;11
;;X;A101;2010;1;65-74;20;12
;;X;A101;2010;1;65-74;31;11
;;X;A101;2010;1;65-74;32;9
;;X;A101;2010;1;65-74;41;2
;;X;A101;2010;1;65-74;42;11
;;X;A101;2010;1;65-74;51;9
;;X;A101;2010;1;65-74;52;14
;;X;A101;2010;1;65-74;53;15
;;X;A101;2010;1;65-74;63;18
;;X;A101;2010;1;65-74;64;32
;;X;A101;2010;1;65-74;71;6
;;X;A101;2010;1;65-74;72;12
;;X;A101;2010;1;65-74;80;37
;;X;A101;2010;1;75+;10;14
;;X;A101;2010;1;75+;20;18
;;X;A101;2010;1;75+;31;13
;;X;A101;2010;1;75+;32;18
;;X;A101;2010;1;75+;41;7
;;X;A101;2010;1;75+;42;7
;;X;A101;2010;1;75+;51;10
;;X;A101;2010;1;75+;52;5
;;X;A101;2010;1;75+;53;11
;;X;A101;2010;1;75+;63;26
;;X;A101;2010;1;75+;64;80
;;X;A101;2010;1;75+;71;8
;;X;A101;2010;1;75+;72;21
;;X;A101;2010;1;75+;80;30
;;X;A101;2010;2;15-34;10;21
;;X;A101;2010;2;15-34;20;40
;;X;A101;2010;2;15-34;31;34
;;X;A101;2010;2;15-34;32;79
;;X;A101;2010;2;15-34;41;32
;;X;A101;2010;2;15-34;42;30
;;X;A101;2010;2;15-34;51;34
;;X;A101;2010;2;15-34;52;25
;;X;A101;2010;2;15-34;53;29
;;X;A101;2010;2;15-34;63;45
;;X;A101;2010;2;15-34;64;64
;;X;A101;2010;2;15-34;71;64
;;X;A101;2010;2;15-34;72;75
;;X;A101;2010;2;15-34;80;60
;;X;A101;2010;2;35-44;10;3
;;X;A101;2010;2;35-44;20;10
;;X;A101;2010;2;35-44;31;12
;;X;A101;2010;2;35-44;32;29
;;X;A101;2010;2;35-44;41;4
;;X;A101;2010;2;35-44;42;9
;;X;A101;2010;2;35-44;51;5
;;X;A101;2010;2;35-44;52;1
;;X;A101;2010;2;35-44;53;7
;;X;A101;2010;2;35-44;63;10
;;X;A101;2010;2;35-44;64;14
;;X;A101;2010;2;35-44;71;13
;;X;A101;2010;2;35-44;72;13
;;X;A101;2010;2;35-44;80;13
;;X;A101;2010;2;45-54;10;9
;;X;A101;2010;2;45-54;20;11
;;X;A101;2010;2;45-54;31;10
;;X;A101;2010;2;45-54;32;24
;;X;A101;2010;2;45-54;41;8
;;X;A101;2010;2;45-54;42;9
;;X;A101;2010;2;45-54;51;9
;;X;A101;2010;2;45-54;53;4
;;X;A101;2010;2;45-54;63;16
;;X;A101;2010;2;45-54;64;17
;;X;A101;2010;2;45-54;72;17
;;X;A101;2010;2;45-54;80;11
;;X;A101;2010;2;55-64;10;9
;;X;A101;2010;2;55-64;20;15
;;X;A101;2010;2;55-64;31;10
;;X;A101;2010;2;55-64;32;25
;;X;A101;2010;2;55-64;41;11
;;X;A101;2010;2;55-64;42;17
;;X;A101;2010;2;55-64;51;11
;;X;A101;2010;2;55-64;52;4
;;X;A101;2010;2;55-64;53;8
;;X;A101;2010;2;55-64;63;21
;;X;A101;2010;2;55-64;64;30
;;X;A101;2010;2;55-64;71;5
;;X;A101;2010;2;55-64;72;25
;;X;A101;2010;2;55-64;80;26
;;X;A101;2010;2;65-74;10;10
;;X;A101;2010;2;65-74;20;20
;;X;A101;2010;2;65-74;31;15
;;X;A101;2010;2;65-74;32;32
;;X;A101;2010;2;65-74;41;14
;;X;A101;2010;2;65-74;42;16
;;X;A101;2010;2;65-74;51;21
;;X;A101;2010;2;65-74;52;15
;;X;A101;2010;2;65-74;53;22
;;X;A101;2010;2;65-74;63;26
;;X;A101;2010;2;65-74;64;51
;;X;A101;2010;2;65-74;71;10
;;X;A101;2010;2;65-74;72;33
;;X;A101;2010;2;65-74;80;33
;;X;A101;2010;2;75+;10;41
;;X;A101;2010;2;75+;20;35
;;X;A101;2010;2;75+;31;37
;;X;A101;2010;2;75+;32;22
;;X;A101;2010;2;75+;41;27
;;X;A101;2010;2;75+;42;29
;;X;A101;2010;2;75+;51;30
;;X;A101;2010;2;75+;52;17
;;X;A101;2010;2;75+;53;37
;;X;A101;2010;2;75+;63;61
;;X;A101;2010;2;75+;64;128
;;X;A101;2010;2;75+;71;26
;;X;A101;2010;2;75+;72;44
;;X;A101;2010;2;75+;80;76
;;X;A101;2011;1;15-34;10;19
;;X;A101;2011;1;15-34;20;37
;;X;A101;2011;1;15-34;31;27
;;X;A101;2011;1;15-34;32;48
;;X;A101;2011;1;15-34;41;17
;;X;A101;2011;1;15-34;42;28
;;X;A101;2011;1;15-34;51;14
;;X;A101;2011;1;15-34;52;11
;;X;A101;2011;1;15-34;53;25
;;X;A101;2011;1;15-34;63;43
;;X;A101;2011;1;15-34;64;39
;;X;A101;2011;1;15-34;71;11
;;X;A101;2011;1;15-34;72;56
;;X;A101;2011;1;15-34;80;34
;;X;A101;2011;1;35-44;10;4
;;X;A101;2011;1;35-44;20;8
;;X;A101;2011;1;35-44;31;7
;;X;A101;2011;1;35-44;32;11
;;X;A101;2011;1;35-44;41;2
;;X;A101;2011;1;35-44;42;8
;;X;A101;2011;1;35-44;51;6
;;X;A101;2011;1;35-44;52;4
;;X;A101;2011;1;35-44;53;2
;;X;A101;2011;1;35-44;63;8
;;X;A101;2011;1;35-44;64;9
;;X;A101;2011;1;35-44;71;3
;;X;A101;2011;1;35-44;72;16
;;X;A101;2011;1;35-44;80;8
;;X;A101;2011;1;45-54;10;4
