KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2008;2;35-44;64;13
A101;2008;2;35-44;71;9
A101;2008;2;35-44;72;13
A101;2008;2;35-44;80;16
A101;2008;2;45-54;10;10
A101;2008;2;45-54;20;10
A101;2008;2;45-54;31;10
A101;2008;2;45-54;32;12
A101;2008;2;45-54;41;7
A101;2008;2;45-54;42;19
A101;2008;2;45-54;51;8
A101;2008;2;45-54;52;4
A101;2008;2;45-54;53;5
A101;2008;2;45-54;63;21
A101;2008;2;45-54;64;20
A101;2008;2;45-54;71;6
A101;2008;2;45-54;72;14
A101;2008;2;45-54;80;11
A101;2008;2;55-64;10;16
A101;2008;2;55-64;20;16
A101;2008;2;55-64;31;12
A101;2008;2;55-64;32;17
A101;2008;2;55-64;41;5
A101;2008;2;55-64;42;23
A101;2008;2;55-64;51;14
A101;2008;2;55-64;52;12
A101;2008;2;55-64;53;8
A101;2008;2;55-64;63;15
A101;2008;2;55-64;64;20
A101;2008;2;55-64;71;11
A101;2008;2;55-64;72;20
A101;2008;2;55-64;80;26
A101;2008;2;65-74;10;15
A101;2008;2;65-74;20;19
A101;2008;2;65-74;31;26
A101;2008;2;65-74;32;33
A101;2008;2;65-74;41;15
A101;2008;2;65-74;42;22
A101;2008;2;65-74;51;12
A101;2008;2;65-74;52;14
A101;2008;2;65-74;53;4
A101;2008;2;65-74;63;31
A101;2008;2;65-74;64;44
A101;2008;2;65-74;71;8
A101;2008;2;65-74;72;21
A101;2008;2;65-74;80;28
A101;2008;2;75+;10;24
A101;2008;2;75+;20;28
A101;2008;2;75+;31;35
A101;2008;2;75+;32;22
A101;2008;2;75+;41;29
A101;2008;2;75+;42;28
A101;2008;2;75+;51;25
A101;2008;2;75+;52;23
A101;2008;2;75+;53;9
A101;2008;2;75+;63;72
A101;2008;2;75+;64;56
A101;2008;2;75+;71;29
A101;2008;2;75+;72;32
A101;2008;2;75+;80;56
A101;2009;1;15-34;10;12
A101;2009;1;15-34;20;42
A101;2009;1;15-34;31;26
A101;2009;1;15-34;32;48
A101;2009;1;15-34;41;33
A101;2009;1;15-34;42;39
A101;2009;1;15-34;51;9
A101;2009;1;15-34;52;33
A101;2009;1;15-34;53;16
A101;2009;1;15-34;63;39
A101;2009;1;15-34;64;38
A101;2009;1;15-34;71;17
A101;2009;1;15-34;72;58
A101;2009;1;15-34;80;39
A101;2009;1;35-44;10;4
A101;2009;1;35-44;20;8
A101;2009;1;35-44;31;8
A101;2009;1;35-44;32;17
A101;2009;1;35-44;41;8
A101;2009;1;35-44;42;8
A101;2009;1;35-44;51;2
A101;2009;1;35-44;52;3
A101;2009;1;35-44;53;3
A101;2009;1;35-44;63;12
A101;2009;1;35-44;64;8
A101;2009;1;35-44;71;3
A101;2009;1;35-44;72;11
A101;2009;1;35-44;80;7
A101;2009;1;45-54;10;5
A101;2009;1;45-54;20;6
A101;2009;1;45-54;31;5
A101;2009;1;45-54;32;17
A101;2009;1;45-54;41;7
A101;2009;1;45-54;42;11
A101;2009;1;45-54;51;2
A101;2009;1;45-54;52;2
A101;2009;1;45-54;53;3
A101;2009;1;45-54;63;17
A101;2009;1;45-54;64;8
A101;2009;1;45-54;71;5
A101;2009;1;45-54;72;9
A101;2009;1;45-54;80;6
A101;2009;1;55-64;10;11
A101;2009;1;55-64;20;7
A101;2009;1;55-64;31;10
A101;2009;1;55-64;32;21
A101;2009;1;55-64;41;7
A101;2009;1;55-64;42;25
A101;2009;1;55-64;51;3
A101;2009;1;55-64;52;6
A101;2009;1;55-64;53;2
A101;2009;1;55-64;63;13
A101;2009;1;55-64;64;23
A101;2009;1;55-64;71;4
A101;2009;1;55-64;72;15
A101;2009;1;55-64;80;20
A101;2009;1;65-74;10;5
A101;2009;1;65-74;20;16
A101;2009;1;65-74;31;9
A101;2009;1;65-74;32;23
A101;2009;1;65-74;41;3
A101;2009;1;65-74;42;12
A101;2009;1;65-74;51;5
A101;2009;1;65-74;52;13
A101;2009;1;65-74;53;6
A101;2009;1;65-74;63;11
A101;2009;1;65-74;64;22
A101;2009;1;65-74;71;5
A101;2009;1;65-74;72;18
A101;2009;1;65-74;80;14
A101;2009;1;75+;10;8
A101;2009;1;75+;20;11
A101;2009;1;75+;31;17
A101;2009;1;75+;32;18
